Year,Month,Total
2000,January,3223328 
2000,February,3289676 
2000,March,3891206 
2000,April,4221430 
2000,May,4217758 
2000,June,4279344 
2000,July,4682912 
2000,August,4576937 
2000,September,4512627 
2000,October,4213380 
2000,November,3610865 
2000,December,3526674 
2001,January,3505227 
2001,February,3400920 
2001,March,4066319 
2001,April,4426602 
2001,May,4342073 
2001,June,4602279 
2001,July,4869487 
2001,August,4736095 
2001,September,4107563 
2001,October,3578556 
2001,November,3149993 
2001,December,3212062 
2002,January,3320994 
2002,February,3304325 
2002,March,4086380 
2002,April,4141291 
2002,May,4124210 
2002,June,4270209 
2002,July,4639806 
2002,August,4681001 
2002,September,4328482 
2002,October,4296317 
2002,November,3520838 
2002,December,3644846 
2003,January,3494418 
2003,February,3410732 
2003,March,3832233 
2003,April,3759848 
2003,May,3780121 
2003,June,4192681 
2003,July,4673988 
2003,August,4864305 
2003,September,4430603 
2003,October,4320800 
2003,November,3662209 
2003,December,3798498 
2004,January,3640364 
2004,February,3606091 
2004,March,4015074 
2004,April,4359528 
2004,May,4408825 
2004,June,4557750 
2004,July,4967719 
2004,August,4975468 
2004,September,4616924 
2004,October,4514630 
2004,November,3729120 
2004,December,3868870 
2005,January,3835914 
2005,February,3588782 
2005,March,4266817 
2005,April,4438272 
2005,May,4715297 
2005,June,4809002 
2005,July,5294649 
2005,August,5194319 
2005,September,4847621 
2005,October,4642587 
2005,November,4047140 
2005,December,4117908 
2006,January,4064277 
2006,February,3795174 
2006,March,4363630 
2006,April,4911753 
2006,May,4980536 
2006,June,5104143 
2006,July,5552614 
2006,August,5379817 
2006,September,5107996 
2006,October,4929760 
2006,November,4251971 
2006,December,4407896 
2007,January,4289213 
2007,February,3957925 
2007,March,4815426 
2007,April,5119473 
2007,May,5040919 
2007,June,5320459 
2007,July,5917760 
2007,August,5868420 
2007,September,5419072 
2007,October,4999492 
2007,November,4528585 
2007,December,4645433 
2008,January,4391679 
2008,February,4186589 
2008,March,4976382 
2008,April,5176902 
2008,May,5405266 
2008,June,5473046 
2008,July,5967058 
2008,August,5980185 
2008,September,5265281 
2008,October,5167089 
2008,November,4361439 
2008,December,4523765 
2009,January,4108470 
2009,February,3817784 
2009,March,4525082 
2009,April,5081012 
2009,May,5024978 
2009,June,5115551 
2009,July,5713321 
2009,August,5715340 
2009,September,5043442 
2009,October,5070406 
2009,November,4267921 
2009,December,4423559 
2010,January,4154249 
2010,February,3821563 
2010,March,4654929 
2010,April,4062475 
2010,May,5199610 
2010,June,5244612 
2010,July,5896243 
2010,August,5826513 
2010,September,5300608 
2010,October,5261741 
2010,November,4417623 
2010,December,4325868 
2011,January,4317169 
2011,February,3999222 
2011,March,4660846 
2011,April,5155777 
2011,May,5293969 
2011,June,5410429 
2011,July,6132084 
2011,August,5890112 
2011,September,5550103 
2011,October,5330769 
2011,November,4514458 
2011,December,4715613 
2012,January,4458793 
2012,February,4142553 
2012,March,4938041 
2012,April,5305048 
2012,May,5286761 
2012,June,5535053 
2012,July,6080563 
2012,August,5909887 
2012,September,5525591 
2012,October,5216630 
2012,November,4563344 
2012,December,4649670 
2013,January,4325334 
2013,February,4076931 
2013,March,5033543 
2013,April,5140134 
2013,May,5418775 
2013,June,5533558 
2013,July,6051339 
2013,August,6131642 
2013,September,5578340 
2013,October,5391470 
2013,November,4558562 
2013,December,4813289 
2014,January,4556035 
2014,February,4216597 
2014,March,5033255 
2014,April,5519582 
2014,May,5591034 
2014,June,5874880 
2014,July,6287309 
2014,August,6514627 
2014,September,4893846 
2014,October,5637255 
2014,November,4686901 
2014,December,5002435 
2015,January,4667194 
2015,February,4349263 
2015,March,5096452 
2015,April,5416512 
2015,May,5806765 
2015,June,5960323 
2015,July,6571918 
2015,August,6688308 
2015,September,5927831 
2015,October,5823148 
2015,November,4624580 
2015,December,4834692 
2016,January,4686800 
2016,February,4467282 
2016,March,5136299 
2016,April,5531559 
2016,May,5741895 
2016,June,5728404 
2016,July,6511270 
2016,August,6530228 
2016,September,5814769 
2016,October,5751186 
2016,November,4834357 
2016,December,5199096 
2017,January,4973487 
2017,February,4624604 
2017,March,5301718 
2017,April,5963409 
2017,May,5956489 
2017,June,6112369 
2017,July,6863173 
2017,August,6857081 
2017,September,6204239 
2017,October,6039125 
2017,November,5153221 
2017,December,5422527 
2018,January,5215817 
2018,February,4747428 
2018,March,5625819 
2018,April,5754415 
2018,May,6082029 
2018,June,6499280 
2018,July,7151411 
2018,August,7163134 
2018,September,6505326 
2018,October,6380934 
2018,November,5481356 
2018,December,5622774 
2019,January,5366909 
2019,February,5078698 
2019,March,6019796 
2019,April,6494711 
2019,May,6460225 
2019,June,6916703 
2019,July,7428142 
2019,August,7474058 
2019,September,6818880 
2019,October,6645474 
2019,November,5662267 
2019,December,5784144 
